8 - Whether or not reservation to article 16 of CEDAW

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Whether or not reservation to article 16 of CEDAW,Southern Asia,4,Afghanistan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,64,Bhutan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,144,Sri Lanka,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,144,Sri Lanka,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Equal rights in marriage and family,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Other concerns,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),CEDAW Status,Not signed or ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Elimination of discrimination,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality to choose residence,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equal rights in marriage and family,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality in employment,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Other concerns,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality of nationality,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Compatibility with religious laws or traditional codes,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,524,Nepal,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,524,Nepal,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,586,Pakistan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,8,Albania,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,8,Albania,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,20,Andorra,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,20,Andorra,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,56,Belgium,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,56,Belgium,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,70,Bosnia and Herzegovina,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,70,Bosnia and Herzegovina,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,100,Bulgaria,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,100,Bulgaria,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,112,Belarus,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,112,Belarus,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,124,Canada,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,124,Canada,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,191,Croatia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,191,Croatia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,196,Cyprus,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,196,Cyprus,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,203,Czech Republic,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,203,Czech Republic,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,208,Denmark,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,208,Denmark,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,233,Estonia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,246,Finland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,246,Finland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,250,France,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,250,France,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,250,France,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,250,France,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,250,France,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,276,Germany,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,276,Germany,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,300,Greece,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,300,Greece,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,348,Hungary,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,348,Hungary,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,352,Iceland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,352,Iceland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,372,Ireland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,372,Ireland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,372,Ireland,Reservations to CEDAW - Equal rights in marriage and family,Reservation,The text of the reservation reads: 'Articles 16  1 (d) and (f): Ireland is of the view that the attainment in Ireland of the objectives of the Convention does not necessitate the extension to men of rights identical to those accorded by law to women in respect of the guardianship  adoption and custody of children born out of wedlock and reserves the right to implement the Convention subject to that understanding.'
Whether or not reservation to article 16 of CEDAW,Developed regions,372,Ireland,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,372,Ireland,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,376,Israel,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,376,Israel,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,376,Israel,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,376,Israel,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,380,Italy,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,380,Italy,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,392,Japan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,428,Latvia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,438,Liechtenstein,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,438,Liechtenstein,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,438,Liechtenstein,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,440,Lithuania,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,440,Lithuania,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,442,Luxembourg,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,442,Luxembourg,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,470,Malta,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,470,Malta,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,470,Malta,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,470,Malta,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,492,Monaco,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,492,Monaco,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,492,Monaco,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,492,Monaco,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,498,Republic of Moldova,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,498,Republic of Moldova,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,499,Montenegro,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,499,Montenegro,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,528,Netherlands,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,528,Netherlands,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,554,New Zealand,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,554,New Zealand,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,554,New Zealand,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,554,New Zealand,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,554,New Zealand,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,578,Norway,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,578,Norway,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,616,Poland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,616,Poland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,620,Portugal,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,620,Portugal,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,642,Romania,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,642,Romania,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,643,Russian Federation,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,643,Russian Federation,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,674,San Marino,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,674,San Marino,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,688,Serbia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,688,Serbia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,703,Slovakia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,703,Slovakia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,705,Slovenia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,705,Slovenia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,724,Spain,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,724,Spain,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,724,Spain,Reservations to CEDAW - Other concerns,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Developed regions,752,Sweden,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,752,Sweden,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,756,Switzerland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,756,Switzerland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,756,Switzerland,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,756,Switzerland,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,804,Ukraine,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,804,Ukraine,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,807,The former Yugoslav Republic of Macedonia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,807,The former Yugoslav Republic of Macedonia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Reservations to CEDAW - Equal rights in marriage and family,Reservation,The text of the reservation reads: 'As regards sub-paragraph 1 (f) of article 16  the United Kingdom does not regard the reference to the paramountcy of the interests of the children as being directly relevant to the elimination of discrimination against women  and declares in this connection that the legislation of the United Kingdom regulating adoption  while giving a principal position to the promotion of the children's welfare  does not give to the child's interests the same paramount place as in issues concerning custody over children.'
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,CEDAW Status,Signed but not ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Elimination of discrimination,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Equality to choose residence,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Equal rights in marriage and family,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Equality in employment,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Other concerns,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Equality of nationality,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Developed regions,840,United States of America,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,12,Algeria,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,12,Algeria,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,12,Algeria,Reservations to CEDAW - Equality to choose residence,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,12,Algeria,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,434,Libya,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,434,Libya,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,434,Libya,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,434,Libya,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,434,Libya,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Elimination of discrimination,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Equality to choose residence,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Equal rights in marriage and family,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Other concerns,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Equality of nationality,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,504,Morocco,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Northern Africa,788,Tunisia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,788,Tunisia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,788,Tunisia,Reservations to CEDAW - Equality to choose residence,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,788,Tunisia,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,788,Tunisia,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,818,Egypt,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Northern Africa,818,Egypt,Reservations to CEDAW - Elimination of discrimination,Reservation,-
