2b - Whether or not ratified ILO convention 175 on part-time work

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,180,Democratic Republic of the Congo,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,204,Benin,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,226,Equatorial Guinea,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,231,Ethiopia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,232,Eritrea,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,262,Djibouti,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,266,Gabon,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,270,Gambia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,288,Ghana,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,324,Guinea,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,384,Côte d'Ivoire,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,404,Kenya,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,426,Lesotho,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,430,Liberia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,450,Madagascar,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,454,Malawi,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,466,Mali,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,478,Mauritania,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,480,Mauritius,1996-06-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,508,Mozambique,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,516,Namibia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,562,Niger,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,566,Nigeria,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,624,Guinea-Bissau,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,646,Rwanda,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,678,Sao Tome and Principe,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,686,Senegal,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,690,Seychelles,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,694,Sierra Leone,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,706,Somalia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,710,South Africa,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,716,Zimbabwe,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,728,South Sudan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,729,Sudan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,748,Swaziland,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,768,Togo,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,800,Uganda,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,834,United Republic of Tanzania,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,854,Burkina Faso,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,894,Zambia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,28,Antigua and Barbuda,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,32,Argentina,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,44,Bahamas,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,52,Barbados,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,68,Bolivia (Plurinational State of),-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,76,Brazil,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,84,Belize,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,152,Chile,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,170,Colombia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,188,Costa Rica,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,192,Cuba,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,212,Dominica,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,214,Dominican Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,218,Ecuador,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,222,El Salvador,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,308,Grenada,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,320,Guatemala,2017-02-28,Status,Ratified  not in force,The Convention will enter into force for Guatemala on 28 Feb 2018.
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,328,Guyana,1997-09-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,332,Haiti,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,340,Honduras,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,388,Jamaica,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,484,Mexico,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,558,Nicaragua,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,591,Panama,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,600,Paraguay,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,604,Peru,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,659,Saint Kitts and Nevis,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,662,Saint Lucia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,670,Saint Vincent and the Grenadines,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,740,Suriname,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,780,Trinidad and Tobago,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,858,Uruguay,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Latin America and the Caribbean,862,Venezuela (Bolivarian Republic of),-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,31,Azerbaijan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,51,Armenia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,268,Georgia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,398,Kazakhstan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,417,Kyrgyzstan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,762,Tajikistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,795,Turkmenistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Caucasus and Central Asia,860,Uzbekistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,48,Bahrain,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,368,Iraq,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,400,Jordan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,414,Kuwait,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,422,Lebanon,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,512,Oman,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,634,Qatar,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,682,Saudi Arabia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,760,Syrian Arab Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,784,United Arab Emirates,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,792,Turkey,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Western Asia,887,Yemen,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,96,Brunei Darussalam,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,104,Myanmar,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,116,Cambodia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,360,Indonesia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,418,Lao People's Democratic Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,458,Malaysia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,608,Philippines,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,626,Timor-Leste,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,702,Singapore,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,704,Viet Nam,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,South-eastern Asia,764,Thailand,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Eastern Asia,156,China,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Eastern Asia,410,Republic of Korea,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Eastern Asia,496,Mongolia,-,Status,Not ratified,-
