country,year,all,women,men,value,indicator
Austria,2011,27716,3676,24040,13.263097128012701,Police personnel
Luxembourg,2011,1704,185,1519,10.85680751173709,Police personnel
Netherlands,2011,50587,14680,35907,29.019313262300592,Police personnel
Poland,2012,96322,13806,82516,14.333174145055128,Police personnel
Russian Federation,2012,746531,148186,598345,19.849945950000738,Police personnel
Slovakia,2012,21733,3537,18196,16.27478949063636,Police personnel
Denmark,2012,10797,1417,9380,13.124015930351023,Police personnel
Finland,2012,7977,1205,6772,15.105929547448916,Police personnel
Iceland,2012,650,77,573,11.846153846153847,Police personnel
Sweden,2012,19890,5813,14077,29.225741578682754,Police personnel
United Kingdom (England and Wales),2012,129583,35401,94182,27.319169952848753,Police personnel
United Kingdom (Northern Ireland),2012,7558,2114,5444,27.97036252976978,Police personnel
United Kingdom (Scotland),2012,17436,4760,12676,27.299839412709336,Police personnel
Italy,2012,276750,17945,258805,6.484191508581753,Police personnel
Kosovo under UNSCR 1244,2012,7268,865,6403,11.901485965877821,Police personnel
North Macedonia,2012,11411,1957,9454,17.150118306896854,Police personnel
Serbia,2012,34353,4105,30248,11.949465839955753,Police personnel
Slovenia,2012,7371,1128,6243,15.303215303215303,Police personnel
Spain,2012,179317,18561,160756,10.350942743855853,Police personnel
Austria,2012,27794,3854,23940,13.866302079585521,Police personnel
Belgium,2012,38344,7380,30964,19.246818276653453,Police personnel
Luxembourg,2012,1736,190,1546,10.944700460829493,Police personnel
Netherlands,2012,51552,15178,36374,29.44211669770329,Police personnel
Czechia,2013,38754,5857,32897,15.113278629302782,Police personnel
Poland,2013,97762,14529,83233,14.861602667703197,Police personnel
Republic of Moldova,2013,8138,770,7368,9.461784222167609,Police personnel
Romania,2013,53626,7362,46264,13.728415320926416,Police personnel
Russian Federation,2013,745607,148003,597604,19.85000140824858,Police personnel
Slovakia,2013,22404,3674,18730,16.39885734690234,Police personnel
Denmark,2013,10748,1449,9299,13.481577967994046,Police personnel
Estonia,2013,4220,1447,2773,34.28909952606635,Police personnel
Finland,2013,7680,1189,6491,15.481770833333334,Police personnel
Iceland,2013,652,83,570,12.710566615620214,Police personnel
Latvia,2013,8199,2792,5407,34.052933284546896,Police personnel
Lithuania,2013,9416,3058,6358,32.47663551401869,Police personnel
Norway,2013,8248,2060,6188,24.975751697381185,Police personnel
Sweden,2013,19911,5971,13940,29.988448596253328,Police personnel
United Kingdom (England and Wales),2013,127909,35652,92256,27.873158832911155,Police personnel
United Kingdom (Northern Ireland),2013,7331,2065,5266,28.168053471559134,Police personnel
United Kingdom (Scotland),2013,17258,4793,12465,27.772627187391354,Police personnel
Albania,2013,9477,1010,8467,10.657381027751399,Police personnel
Andorra,2013,216,20,196,9.25925925925926,Police personnel
Bosnia and Herzegovina,2013,16433,1149,15284,6.9920282358668535,Police personnel
Croatia,2013,20747,3567,17180,17.192847158625344,Police personnel
Italy,2013,276515,18527,257988,6.70017901379672,Police personnel
Kosovo under UNSCR 1244,2013,7323,870,6453,11.880376894715281,Police personnel
Malta,2013,1942,342,1600,17.61071060762101,Police personnel
Montenegro,2013,4146,370,3776,8.924264351181861,Police personnel
North Macedonia,2013,9276,1180,8096,12.721000431220354,Police personnel
