COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
JPN,Japon,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.1,,
JPN,Japon,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,22.5,,
KOR,Corée,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,12.9,,
KOR,Corée,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,12.9,,
KOR,Corée,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.6,,
KOR,Corée,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.4,,
LUX,Luxembourg,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,23.4,,
LUX,Luxembourg,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.7,,
LUX,Luxembourg,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,26.6,,
LUX,Luxembourg,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,25.2,,
MEX,Mexique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,13.7,,
MEX,Mexique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,13.5,,
MEX,Mexique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,16.1,,
MEX,Mexique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.0,,
NLD,Pays-Bas,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.4,,
NLD,Pays-Bas,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.0,,
NLD,Pays-Bas,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.0,,
NLD,Pays-Bas,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.3,,
NZL,Nouvelle-Zélande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.1,,
NZL,Nouvelle-Zélande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.5,,
NZL,Nouvelle-Zélande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.8,,
NZL,Nouvelle-Zélande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.1,,
NOR,Norvège,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.9,,
NOR,Norvège,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.5,,
